,City,Lat,Lng,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,suhut,38.5311,30.5458,64.51,64.51,41,0,5.88,TR,1621967923
338,karatuzskoye,53.6072,92.8667,53.67,53.67,99,100,3.31,RU,1621967924
339,palmerston,-12.486,130.9833,72.7,75.18,87,6,6.04,AU,1621967924
340,hit,33.6416,42.8251,85.06,85.06,19,58,5.99,IQ,1621967925
341,antofagasta,-23.65,-70.4,69.22,69.22,56,98,7.87,CL,1621967700
342,kazachinskoye,57.6953,93.2761,40.15,40.15,68,81,2.64,RU,1621967925
343,alice springs,-23.7,133.8833,53.15,53.15,47,40,9.37,AU,1621967925
344,camacha,33.0833,-16.3333,63.82,65.16,59,40,17.27,PT,1621967926
345,tessalit,20.1986,1.0114,101.82,101.82,5,4,12.95,ML,1621967926
346,souillac,-20.5167,57.5167,73.78,73.78,83,75,7.2,MU,1621967927
347,necochea,-38.5473,-58.7368,54.03,54.03,53,5,19.04,AR,1621967927
348,pangai,-19.8,-174.35,68.11,68.11,94,90,14.97,TO,1621967927
349,trat,12.5,102.5,82.78,82.78,98,100,3.24,TH,1621967928
350,gushikawa,26.3544,127.8686,76.39,77.0,83,75,6.91,JP,1621967929
351,balsta,59.5671,17.5278,52.29,54.0,81,100,11.23,SE,1621967929
352,flinders,-34.5833,150.8552,61.63,64.0,82,35,1.01,AU,1621967930
353,macamic,48.7502,-78.9996,66.43,66.43,88,100,12.39,CA,1621967930
354,fort nelson,58.8053,-122.7002,41.0,41.0,70,90,3.44,CA,1621967931
355,kapuskasing,49.4169,-82.4331,73.4,73.4,56,100,18.41,CA,1621967932
356,zhigansk,66.7697,123.3711,47.52,47.52,58,100,2.98,RU,1621967932
357,kasongo-lunda,-6.4667,16.8167,71.29,71.29,53,7,2.1,CD,1621967933
358,fredericksburg,38.3032,-77.4605,81.36,85.01,57,40,1.99,US,1621967814
359,oranjemund,-28.55,16.4333,59.67,59.67,96,11,11.99,NA,1621967933
360,antsohihy,-14.8796,47.9875,70.18,70.18,80,2,1.63,MG,1621967934
361,neyshabur,36.2133,58.7958,77.67,77.67,17,84,5.28,IR,1621967934
362,gazli,40.1333,63.45,84.2,84.2,24,0,8.08,UZ,1621967934
363,tynda,55.1667,124.7167,36.72,36.72,99,100,2.33,RU,1621967834
364,sao felix do xingu,-6.6447,-51.995,90.01,90.01,45,5,5.61,BR,1621967935
365,aldan,58.6031,125.3894,36.64,36.64,94,100,3.15,RU,1621967935
366,petropavlovsk-kamchatskiy,53.0452,158.6483,32.59,32.59,80,40,4.72,RU,1621967911
367,broken hill,-31.95,141.4333,46.11,46.11,76,0,12.66,AU,1621967936
368,saint-louis,16.3333,-15.0,105.8,105.8,20,100,6.91,SN,1621967937
369,kukushtan,57.6464,56.4952,58.62,58.62,87,100,9.86,RU,1621967937
370,pevek,69.7008,170.3133,29.98,29.98,79,97,3.36,RU,1621967937
371,venice,27.0998,-82.4543,85.84,93.06,63,20,8.01,US,1621967938
372,arrifes,37.7667,-25.7,64.65,64.65,68,20,11.5,PT,1621967938
373,olinda,-8.0089,-34.8553,80.33,80.33,65,75,8.77,BR,1621967938
374,svetlogorsk,52.6333,29.7333,58.8,58.8,76,25,10.94,BY,1621967939
375,la ronge,55.1001,-105.2842,33.8,33.8,69,66,17.27,CA,1621967940
376,nizhnyaya tavda,57.6731,66.1725,60.49,60.49,74,93,6.33,RU,1621967940
377,tukrah,32.5341,20.5791,72.61,72.61,58,0,10.0,LY,1621967941
378,marawi,7.9986,124.2928,66.65,66.65,86,85,1.77,PH,1621967941
379,simao,22.7886,100.9748,65.52,65.52,95,38,2.3,CN,1621967942
380,sunrise manor,36.2111,-115.0731,88.0,93.58,11,1,0.0,US,1621967942
381,biloela,-24.4167,150.5,54.95,54.95,87,2,2.42,AU,1621967768
382,turinsk,58.0458,63.696,55.69,55.69,83,55,4.38,RU,1621967942
383,barghat,22.0333,79.7167,84.6,84.6,16,97,7.45,IN,1621967943
384,leshukonskoye,64.8989,45.7622,35.06,35.06,87,100,8.05,RU,1621967943
385,kaifeng,34.7911,114.3483,70.66,70.66,53,100,17.13,CN,1621967944
386,tungor,53.3808,142.9564,32.36,32.36,95,100,5.57,RU,1621967944
387,paducah,37.0834,-88.6001,87.71,89.53,48,20,11.36,US,1621967945
388,rocha,-34.4833,-54.3333,58.53,58.53,66,0,13.42,UY,1621967945
389,amuntai,-2.4177,115.2494,74.71,74.71,96,100,1.07,ID,1621967946
390,dwarka,22.2394,68.9678,83.52,83.52,82,1,17.52,IN,1621967946
391,zhezkazgan,47.8043,67.7144,79.18,79.18,25,56,14.36,KZ,1621967947
392,chemodanovka,53.2316,45.2474,53.06,53.06,85,6,4.68,RU,1621967947
393,ostrovnoy,68.0531,39.5131,35.13,35.13,74,10,5.46,RU,1621967948
394,umarkot,25.3616,69.7362,85.95,85.95,65,2,20.83,PK,1621967948
395,sergeyevka,53.88,67.4158,76.5,76.5,29,43,8.01,KZ,1621967949
396,bende,5.5572,7.6368,76.51,76.51,93,100,5.1,NG,1621967949
397,piedra gorda,18.4341,-66.8877,83.68,86.45,87,100,17.05,PR,1621967949
398,lagos,6.5833,3.75,84.52,84.52,81,100,5.64,NG,1621967850
399,port macquarie,-31.4333,152.9167,46.44,48.16,100,14,0.0,AU,1621967950
400,iracoubo,5.4802,-53.2011,81.1,81.1,85,100,8.1,GF,1621967950
401,santander jimenez,24.2167,-98.4667,96.66,96.66,33,0,11.39,MX,1621967951
402,monroe,43.1501,-77.6831,84.02,86.43,56,75,13.8,US,1621967951
403,tucuman,-26.8241,-65.2226,71.6,71.6,43,0,5.75,AR,1621967952
404,sao joao da barra,-21.6403,-41.0511,77.0,77.0,57,20,13.8,BR,1621967952
405,noumea,-22.2763,166.4572,71.01,71.01,99,51,12.48,NC,1621967953
406,seymchan,62.8833,152.4333,42.35,42.35,75,100,17.18,RU,1621967953
407,ponta delgada,37.7333,-25.6667,66.92,66.92,68,20,11.5,PT,1621967954
408,khorramshahr,30.4397,48.1664,91.36,91.36,24,0,6.91,IR,1621967954
409,bollnas,61.3482,16.3946,49.12,49.12,73,100,7.72,SE,1621967954
410,peniche,39.3558,-9.3811,60.75,63.0,76,100,8.99,PT,1621967955
411,poso,-1.3959,120.7524,77.38,77.38,87,93,6.71,ID,1621967955
412,santa maria,-29.6842,-53.8069,67.3,67.3,37,0,6.6,BR,1621967805
413,sault sainte marie,46.5168,-84.3333,76.75,79.09,61,20,14.97,CA,1621967800
414,andenes,69.3143,16.1194,41.0,44.08,70,20,31.07,NO,1621967956
415,acarau,-2.8856,-40.12,82.8,82.8,71,68,14.25,BR,1621967945
416,lekoni,-1.5843,14.2591,79.39,79.39,70,96,2.84,GA,1621967957
417,port augusta,-32.5,137.7667,50.7,50.7,83,6,6.89,AU,1621967957
418,asau,46.4333,26.4,62.13,63.52,92,4,3.02,RO,1621967957
419,jinji,23.2281,110.8261,76.59,76.59,95,96,1.12,CN,1621967958
420,hauzenberg,48.65,13.6333,47.14,47.98,92,5,3.76,DE,1621967958
421,temerloh,3.4483,102.4176,74.82,74.82,97,98,1.61,MY,1621967958
422,zyryanka,65.75,150.85,46.69,46.69,68,99,11.88,RU,1621967959
423,zanjan,36.6736,48.4787,54.3,54.3,85,84,7.78,IR,1621967959
424,fortuna,40.5982,-124.1573,57.07,68.47,64,90,7.0,US,1621967960
425,chazuta,-6.5742,-76.1367,86.85,86.85,67,81,1.48,PE,1621967960
426,tamparan,7.8792,124.3331,68.56,68.56,87,93,1.54,PH,1621967961
427,constitucion,-35.3333,-72.4167,62.08,62.08,62,100,12.84,CL,1621967961
428,augustow,53.8432,22.9798,54.45,54.45,96,100,4.99,PL,1621967961
429,skibotn,69.3913,20.2679,42.85,45.46,79,71,2.73,NO,1621967962
430,pacific grove,36.6177,-121.9166,61.05,78.15,73,1,4.0,US,1621967962
431,barcelos,41.5388,-8.6151,64.78,68.85,72,100,7.65,PT,1621967962
432,chavakkad,10.5333,76.05,77.07,78.17,78,100,10.02,IN,1621967958
433,deputatskiy,69.3,139.9,38.59,38.59,62,6,5.28,RU,1621967963
434,derzhavinsk,51.1,66.3167,80.47,80.47,27,72,8.28,KZ,1621967963
435,puksoozero,62.5903,40.6066,37.13,37.13,97,100,5.95,RU,1621967964
436,santarem,-2.4431,-54.7083,87.93,87.93,70,20,8.05,BR,1621967799
437,loviisa,60.4566,26.2251,51.42,56.93,72,100,8.16,FI,1621967964
438,caborca,30.5838,-111.101,86.49,86.49,7,6,8.75,MX,1621967965
439,pochutla,15.7432,-96.4661,89.62,89.82,44,100,9.84,MX,1621967965
440,jacareacanga,-6.2222,-57.7528,93.51,93.51,59,40,3.44,BR,1621967965
441,timbiqui,2.7717,-77.6654,82.26,82.26,82,51,7.05,CO,1621967966
442,ust-ilimsk,58.0006,102.6619,34.72,34.72,91,44,3.04,RU,1621967966
443,los llanos de aridane,28.6585,-17.9182,68.13,68.13,75,75,17.36,ES,1621967937
444,zuwarah,32.9312,12.082,65.91,65.91,84,6,10.63,LY,1621967967
445,dhankuta,26.9833,87.3333,67.68,67.68,86,89,6.85,NP,1621967967
446,shu,43.5983,73.7614,74.23,74.23,56,76,3.18,KZ,1621967968
447,coolum beach,-26.5333,153.1,58.1,58.33,97,3,2.64,AU,1621967968
448,doha,25.2867,51.5333,95.68,96.69,39,0,3.44,QA,1621967968
449,mombetsu,44.3525,143.3525,46.74,46.74,80,59,7.45,JP,1621967969
450,coxim,-18.5067,-54.76,84.07,84.07,47,27,2.39,BR,1621967969
451,severomuysk,56.1481,113.4267,25.77,25.77,84,6,0.78,RU,1621967970
452,sembe,1.6481,14.5806,75.27,75.27,83,91,2.26,CG,1621967970
453,rawson,-43.3002,-65.1023,51.19,51.19,34,5,12.1,AR,1621967970
454,surt,31.2089,16.5887,72.54,72.54,74,5,10.63,LY,1621967971
455,cabo san lucas,22.8909,-109.9124,87.82,98.51,42,20,6.91,MX,1621967971
456,hovd,48.0056,91.6419,58.35,58.35,33,9,2.48,MN,1621967971
457,cajueiro,-9.7167,-36.45,78.98,78.98,72,8,10.36,BR,1621967972
458,lasa,46.6166,10.7002,56.59,58.91,86,3,3.87,IT,1621967972
459,bethany,45.5579,-122.8676,58.53,62.22,83,90,1.01,US,1621967973
460,vila franca do campo,37.7167,-25.4333,66.61,66.61,71,100,11.25,PT,1621967973
461,belmonte,-15.8631,-38.8828,82.9,82.9,67,1,7.25,BR,1621967974
462,acapulco,16.8634,-99.8901,89.42,89.42,62,90,10.58,MX,1621967974
463,manadhoo,5.7667,73.3833,82.38,82.38,73,100,22.3,MV,1621967974
464,port blair,11.6667,92.75,82.74,82.74,83,83,21.14,IN,1621967975
465,bonavista,48.6499,-53.1147,53.6,53.6,68,21,21.03,CA,1621967975
466,panguna,-6.3164,155.4848,68.65,68.65,97,100,2.48,PG,1621967976
467,chernyshevskiy,63.0128,112.4714,36.73,36.73,94,85,4.29,RU,1621967976
468,santa cruz das palmeiras,-21.8269,-47.2486,74.53,74.53,33,0,4.88,BR,1621967976
469,burnie,-41.0667,145.9167,53.01,53.01,89,100,14.88,AU,1621967977
470,palu,-0.8917,119.8707,76.14,76.14,94,91,3.02,ID,1621967977
471,guilin,25.2819,110.2864,73.51,73.51,95,59,1.07,CN,1621967978
472,vilyuysk,63.7553,121.6247,43.9,43.9,91,100,3.78,RU,1621967978
473,lumeje,-11.55,20.7833,61.83,61.83,51,5,4.36,AO,1621967979
474,talcher,20.95,85.2167,74.3,74.3,87,100,16.51,IN,1621967979
475,marzuq,14.4,46.4667,80.44,80.44,51,0,6.78,YE,1621967979
476,cabedelo,-6.9811,-34.8339,84.87,84.87,72,30,11.25,BR,1621967980
477,nago,26.5881,127.9761,76.95,77.43,88,79,4.85,JP,1621967980
478,soldotna,60.4878,-151.0583,56.08,63.95,42,1,6.91,US,1621967981
479,ukiah,39.1502,-123.2078,66.96,68.0,45,1,8.05,US,1621967405
480,port hardy,50.6996,-127.4199,51.98,51.98,76,90,5.75,CA,1621967981
481,saint-leu,-21.15,55.2833,68.76,70.63,76,35,1.41,RE,1621967982
482,collie,-33.3667,116.15,45.97,45.97,89,100,3.71,AU,1621967982
483,kaitangata,-46.2817,169.8464,35.83,35.83,66,100,3.8,NZ,1621967982
484,yaroslavl,57.6299,39.8737,51.6,51.6,76,0,4.05,RU,1621967983
485,olafsvik,64.8945,-23.7142,46.38,46.38,73,100,14.16,IS,1621967983
486,nanortalik,60.1432,-45.2371,34.34,34.34,68,39,5.12,GL,1621967984
487,lincoln,40.8,-96.667,80.33,82.0,61,40,10.36,US,1621967711
488,nouadhibou,20.931,-17.0347,71.58,71.58,68,24,19.57,MR,1621967984
489,alekseyevsk,57.8406,108.3492,41.92,41.92,88,100,5.93,RU,1621967984
490,treinta y tres,-33.2333,-54.3833,62.56,62.56,62,5,13.44,UY,1621967985
491,biri,12.6833,124.3636,81.7,81.7,82,37,3.78,PH,1621967985
492,kenai,60.5544,-151.2583,54.9,64.02,43,1,8.05,US,1621967986
493,north bend,43.4065,-124.2243,56.1,59.94,88,90,9.22,US,1621967986
494,eyl,7.9803,49.8164,80.2,80.2,78,6,19.46,SO,1621967986
495,cascais,38.6979,-9.4215,66.69,71.46,60,0,11.01,PT,1621967987
496,lasem,-6.6922,111.4527,77.77,77.77,87,23,6.89,ID,1621967987
497,chumikan,54.7183,135.315,30.27,30.27,92,100,1.99,RU,1621967988
498,aksu,41.1231,80.2644,72.14,72.14,14,100,5.1,CN,1621967988
499,cairns,-16.9167,145.7667,66.61,67.1,96,90,3.44,AU,1621967988
500,maumere,-8.6199,122.2111,77.81,77.81,77,17,3.74,ID,1621967989
501,beringovskiy,63.05,179.3167,32.54,32.54,98,100,5.79,RU,1621967989
502,fushun,41.8558,123.9233,58.71,58.71,46,100,15.48,CN,1621967990
503,shelburne,44.0787,-80.2041,81.37,85.89,32,100,18.07,CA,1621967990
504,lorengau,-2.0226,147.2712,77.63,77.63,93,100,9.84,PG,1621967990
505,manicore,-5.8092,-61.3003,83.39,83.39,74,100,1.7,BR,1621967991
506,sarasota,27.167,-82.3332,86.81,95.18,58,20,4.88,US,1621967832
507,houma,29.5958,-90.7195,84.65,88.0,68,40,12.66,US,1621967743
508,ler,8.3018,30.1418,84.07,84.07,53,100,5.01,SS,1621967992
509,nouakchott,18.0858,-15.9785,78.73,78.73,62,2,22.62,MR,1621967992
510,kokopo,-4.352,152.2633,74.66,74.66,92,100,7.2,PG,1621967993
511,kloulklubed,7.0419,134.2556,75.7,75.7,78,53,4.32,PW,1621967993
512,yazman,29.1212,71.7446,98.35,98.35,15,0,7.99,PK,1621967993
513,nagornyy,52.7959,83.5498,76.35,76.35,67,51,9.78,RU,1621967994
514,liaozhong,41.5061,122.7242,59.49,59.49,34,100,11.36,CN,1621967994
515,avera,33.194,-82.5271,91.26,95.72,39,96,6.42,US,1621967995
516,kupino,54.3663,77.2981,72.63,72.63,56,6,3.06,RU,1621967995
517,sawakin,19.1059,37.3321,85.46,85.46,66,21,2.66,SD,1621967995
518,turkistan,43.0,68.0,80.24,80.24,35,100,11.34,KZ,1621967996
519,cedar city,37.6775,-113.0619,70.52,73.4,14,1,4.61,US,1621967818
520,iquitos,-3.7481,-73.2472,78.84,78.84,78,75,4.61,PE,1621967758
521,rancho veloz,22.8806,-80.3917,86.49,86.49,62,52,18.39,CU,1621967996
522,tyukhtet,56.5389,89.3011,46.8,46.8,97,100,3.71,RU,1621967997
523,grand gaube,-20.0064,57.6608,72.37,73.8,82,12,5.01,MU,1621967997
524,mandera,3.9366,41.867,82.33,82.33,44,25,17.92,KE,1621967998
525,disna,55.568,28.1971,55.08,55.08,95,100,12.93,BY,1621967998
526,tema,5.667,-0.0166,84.61,84.61,79,20,11.16,GH,1621967998
527,conceicao do araguaia,-8.2578,-49.2647,95.13,95.13,36,0,3.76,BR,1621967999
528,senanga,-16.1167,23.2667,61.74,61.74,43,0,4.88,ZM,1621967999
529,bartica,6.4,-58.6167,88.12,88.12,97,100,2.55,GY,1621968000
530,kharan,28.5833,65.4167,89.28,89.28,9,0,4.56,PK,1621968000
531,tongliao,43.6125,122.2653,52.61,52.61,24,93,5.86,CN,1621968000
532,ust-kuyga,70.0167,135.6,45.72,45.72,54,14,5.64,RU,1621968001
533,isheyevka,54.4167,48.2667,54.91,54.91,85,1,5.84,RU,1621968001
534,ayorou,14.7308,0.9174,97.9,97.9,14,19,1.59,NE,1621968004
535,dunmore east,52.1514,-6.9861,54.16,56.62,77,40,4.61,IE,1621968004
536,atambua,-9.1061,124.8925,70.38,70.38,87,14,5.1,ID,1621968005
537,nizhniy baskunchak,48.2198,46.8311,64.38,64.38,77,80,16.02,RU,1621968005
538,kavaratti,10.5669,72.642,83.46,83.46,77,100,17.16,IN,1621968005
539,vavuniya,8.7514,80.4971,78.03,78.03,81,100,13.02,LK,1621968006
540,dillon,34.4166,-79.3712,88.16,93.87,44,76,6.35,US,1621968006
541,port shepstone,-30.7414,30.455,66.9,66.9,54,100,6.51,ZA,1621968007
542,carlisle,40.2015,-77.1889,70.11,75.27,72,98,1.01,US,1621968007
543,chapais,49.7834,-74.8492,62.38,62.38,96,100,10.94,CA,1621968007
544,tacuati,-23.45,-56.5833,78.1,78.1,28,100,1.74,PY,1621968008
545,baker city,44.7749,-117.8344,54.27,55.11,68,40,0.0,US,1621968008
546,shubarkuduk,49.1447,56.4872,75.76,75.76,32,99,10.07,KZ,1621968008
547,eydhafushi,5.1033,73.0708,82.27,82.27,77,100,23.78,MV,1621968009
548,nemuro,43.3236,145.575,42.94,42.94,93,98,6.76,JP,1621968009
549,usak,38.5,29.4167,68.59,68.59,31,0,8.84,TR,1621968010
550,takaka,-40.85,172.8,45.52,45.55,68,0,3.71,NZ,1621968010
551,bandarbeyla,9.4942,50.8122,79.95,79.95,82,0,25.99,SO,1621968011
552,pandamatenga,-18.5278,25.627,59.34,59.34,49,0,3.56,BW,1621968011
553,luziania,-16.2525,-47.9503,83.89,83.89,45,92,3.15,BR,1621968012
554,togur,58.3631,82.8265,45.1,45.1,90,72,3.47,RU,1621968012
555,amalapuram,16.5833,82.0167,85.12,85.12,41,100,5.41,IN,1621968012
556,raudeberg,61.9875,5.1352,53.98,62.2,87,100,19.04,NO,1621968013
557,tsaratanana,-16.7833,47.65,68.83,68.83,66,21,4.99,MG,1621968013
558,matagami,49.7502,-77.6328,66.31,66.31,82,20,11.3,CA,1621968013
559,issa,53.8705,44.8578,54.99,54.99,78,57,5.26,RU,1621968014
560,edd,13.9297,41.6925,89.56,89.56,59,10,8.28,ER,1621968014
561,bondo,3.8146,23.6866,71.58,71.58,94,83,0.43,CD,1621968015
562,nushki,29.5542,66.0215,83.53,83.53,11,0,3.47,PK,1621968015
563,pathanamthitta,9.2667,76.7833,74.43,74.43,98,100,0.25,IN,1621968015
564,les herbiers,46.8667,-1.0167,55.6,55.99,78,95,12.84,FR,1621968016
565,liwale,-9.7667,37.9333,62.44,62.44,70,8,4.72,TZ,1621968016
566,loa janan,-0.583,117.095,74.01,74.01,97,99,1.25,ID,1621968017
567,borogontsy,62.6683,131.1683,44.15,44.15,81,28,1.88,RU,1621968017
568,lulea,65.5842,22.1547,44.67,44.67,76,20,5.75,SE,1621968017
